: chemical element names
Am americium N nitrogen
Am americium Na sodium
Am americium Nb niobium
Am americium Nd neodymium
Am americium Ne neon
Am americium Nh nihonium
Am americium Ni nickel
Am americium No nobelium
Am americium Np neptunium
Am americium O oxygen
Am americium Og oganesson
Am americium Os osmium
Am americium P phosphorus
Am americium Pa protactinium
Am americium Pb lead
Am americium Pd palladium
Am americium Pm promethium
Am americium Po polonium
Am americium Pr praseodymium
Am americium Pt platinum
Am americium Pu plutonium
Am americium Ra radium
Am americium Rb rubidium
Am americium Re rhenium
Am americium Rf rutherfordium
Am americium Rg roentgenium
Am americium Rh rhodium
Am americium Rn radon
Am americium Ru ruthenium
Am americium S sulfur
Am americium Sb antimony
Am americium Sc scandium
Am americium Se selenium
Am americium Sg seaborgium
Am americium Si silicon
Am americium Sm samarium
Am americium Sn tin
Am americium Sr strontium
Am americium Ta tantalum
Am americium Tb terbium
Am americium Tc technetium
Am americium Te tellurium
Am americium Th thorium
Am americium Ti titanium
Am americium Tl thallium
Am americium Tm thulium
Am americium Ts tennessine
Am americium U uranium
Am americium Uue ununennium
Am americium V vanadium
Am americium W tungsten
Am americium Xe xenon
Am americium Y yttrium
Am americium Yb ytterbium
Am americium Zn zinc
Am americium Zr zirconium
Ar argon Ac actinium
Ar argon Ag silver
Ar argon Al aluminium
Ar argon Am americium
Ar argon As arsenic
Ar argon At astatine
Ar argon Au gold
Ar argon B boron
Ar argon Ba barium
Ar argon Be beryllium
Ar argon Bh bohrium
Ar argon Bi bismuth
Ar argon Bk berkelium
Ar argon Br bromine
Ar argon C carbon
Ar argon Ca calcium
Ar argon Cd cadmium
Ar argon Ce cerium
Ar argon Cf californium
Ar argon Cl chlorine
Ar argon Cm curium
Ar argon Cn copernicium
Ar argon Co cobalt
Ar argon Cr chromium
Ar argon Cs cesium
Ar argon Cu copper
Ar argon Db dubnium
Ar argon Ds darmstadtium
Ar argon Dy dysprosium
Ar argon Er erbium
Ar argon Es einsteinium
Ar argon Eu europium
Ar argon F fluorine
Ar argon Fe iron
Ar argon Fl flerovium
Ar argon Fm fermium
Ar argon Fr francium
Ar argon Ga gallium
Ar argon Gd gadolinium
Ar argon Ge germanium
Ar argon H hydrogen
Ar argon He helium
Ar argon Hf hafnium
Ar argon Hg mercury
Ar argon Ho holmium
Ar argon Hs hassium
Ar argon I iodine
Ar argon In indium
Ar argon Ir iridium
Ar argon K potassium
Ar argon Kr krypton
Ar argon La lanthanum
Ar argon Li lithium
Ar argon Lr lawrencium
Ar argon Lu lutetium
Ar argon Lv livermorium
Ar argon Mc moscovium
Ar argon Md mendelevium
Ar argon Mg magnesium
Ar argon Mn manganese
Ar argon Mo molybdenum
Ar argon Mt meitnerium
Ar argon N nitrogen
Ar argon Na sodium
Ar argon Nb niobium
Ar argon Nd neodymium
Ar argon Ne neon
Ar argon Nh nihonium
Ar argon Ni nickel
Ar argon No nobelium
Ar argon Np neptunium
Ar argon O oxygen
Ar argon Og oganesson
Ar argon Os osmium
Ar argon P phosphorus
Ar argon Pa protactinium
Ar argon Pb lead
Ar argon Pd palladium
Ar argon Pm promethium
Ar argon Po polonium
Ar argon Pr praseodymium
Ar argon Pt platinum
Ar argon Pu plutonium
Ar argon Ra radium
Ar argon Rb rubidium
Ar argon Re rhenium
Ar argon Rf rutherfordium
Ar argon Rg roentgenium
Ar argon Rh rhodium
Ar argon Rn radon
Ar argon Ru ruthenium
Ar argon S sulfur
Ar argon Sb antimony
Ar argon Sc scandium
Ar argon Se selenium
Ar argon Sg seaborgium
Ar argon Si silicon
Ar argon Sm samarium
Ar argon Sn tin
Ar argon Sr strontium
Ar argon Ta tantalum
Ar argon Tb terbium
Ar argon Tc technetium
Ar argon Te tellurium
Ar argon Th thorium
Ar argon Ti titanium
Ar argon Tl thallium
Ar argon Tm thulium
Ar argon Ts tennessine
Ar argon U uranium
Ar argon Uue ununennium
Ar argon V vanadium
Ar argon W tungsten
Ar argon Xe xenon
Ar argon Y yttrium
Ar argon Yb ytterbium
Ar argon Zn zinc
Ar argon Zr zirconium
As arsenic Ac actinium
As arsenic Ag silver
As arsenic Al aluminium
As arsenic Am americium
As arsenic Ar argon
As arsenic At astatine
As arsenic Au gold
As arsenic B boron
As arsenic Ba barium
As arsenic Be beryllium
As arsenic Bh bohrium
As arsenic Bi bismuth
As arsenic Bk berkelium
As arsenic Br bromine
As arsenic C carbon
As arsenic Ca calcium
As arsenic Cd cadmium
As arsenic Ce cerium
As arsenic Cf californium
As arsenic Cl chlorine
As arsenic Cm curium
As arsenic Cn copernicium
As arsenic Co cobalt
As arsenic Cr chromium
As arsenic Cs cesium
As arsenic Cu copper
As arsenic Db dubnium
As arsenic Ds darmstadtium
As arsenic Dy dysprosium
As arsenic Er erbium
As arsenic Es einsteinium
As arsenic Eu europium
As arsenic F fluorine
As arsenic Fe iron
As arsenic Fl flerovium
As arsenic Fm fermium
As arsenic Fr francium
As arsenic Ga gallium
As arsenic Gd gadolinium
As arsenic Ge germanium
As arsenic H hydrogen
As arsenic He helium
As arsenic Hf hafnium
As arsenic Hg mercury
As arsenic Ho holmium
As arsenic Hs hassium
As arsenic I iodine
As arsenic In indium
As arsenic Ir iridium
As arsenic K potassium
As arsenic Kr krypton
As arsenic La lanthanum
As arsenic Li lithium
As arsenic Lr lawrencium
As arsenic Lu lutetium
As arsenic Lv livermorium
As arsenic Mc moscovium
As arsenic Md mendelevium
As arsenic Mg magnesium
As arsenic Mn manganese
As arsenic Mo molybdenum
As arsenic Mt meitnerium
As arsenic N nitrogen
As arsenic Na sodium
As arsenic Nb niobium
As arsenic Nd neodymium
As arsenic Ne neon
As arsenic Nh nihonium
As arsenic Ni nickel
As arsenic No nobelium
As arsenic Np neptunium
As arsenic O oxygen
As arsenic Og oganesson
As arsenic Os osmium
As arsenic P phosphorus
As arsenic Pa protactinium
As arsenic Pb lead
As arsenic Pd palladium
As arsenic Pm promethium
As arsenic Po polonium
As arsenic Pr praseodymium
As arsenic Pt platinum
As arsenic Pu plutonium
As arsenic Ra radium
As arsenic Rb rubidium
As arsenic Re rhenium
As arsenic Rf rutherfordium
As arsenic Rg roentgenium
As arsenic Rh rhodium
As arsenic Rn radon
As arsenic Ru ruthenium
As arsenic S sulfur
As arsenic Sb antimony
As arsenic Sc scandium
As arsenic Se selenium
As arsenic Sg seaborgium
As arsenic Si silicon
As arsenic Sm samarium
As arsenic Sn tin
As arsenic Sr strontium
As arsenic Ta tantalum
As arsenic Tb terbium
As arsenic Tc technetium
As arsenic Te tellurium
As arsenic Th thorium
As arsenic Ti titanium
As arsenic Tl thallium
As arsenic Tm thulium
As arsenic Ts tennessine
As arsenic U uranium
As arsenic Uue ununennium
As arsenic V vanadium
As arsenic W tungsten
As arsenic Xe xenon
As arsenic Y yttrium
As arsenic Yb ytterbium
As arsenic Zn zinc
As arsenic Zr zirconium
At astatine Ac actinium
At astatine Ag silver
At astatine Al aluminium
At astatine Am americium
At astatine Ar argon
At astatine As arsenic
At astatine Au gold
At astatine B boron
At astatine Ba barium
At astatine Be beryllium
At astatine Bh bohrium
At astatine Bi bismuth
At astatine Bk berkelium
At astatine Br bromine
At astatine C carbon
At astatine Ca calcium
At astatine Cd cadmium
At astatine Ce cerium
At astatine Cf californium
At astatine Cl chlorine
At astatine Cm curium
At astatine Cn copernicium
At astatine Co cobalt
At astatine Cr chromium
At astatine Cs cesium
At astatine Cu copper
At astatine Db dubnium
At astatine Ds darmstadtium
At astatine Dy dysprosium
At astatine Er erbium
At astatine Es einsteinium
At astatine Eu europium
At astatine F fluorine
At astatine Fe iron
At astatine Fl flerovium
At astatine Fm fermium
At astatine Fr francium
At astatine Ga gallium
At astatine Gd gadolinium
At astatine Ge germanium
At astatine H hydrogen
At astatine He helium
At astatine Hf hafnium
At astatine Hg mercury
At astatine Ho holmium
At astatine Hs hassium
At astatine I iodine
At astatine In indium
At astatine Ir iridium
At astatine K potassium
At astatine Kr krypton
At astatine La lanthanum
At astatine Li lithium
At astatine Lr lawrencium
At astatine Lu lutetium
At astatine Lv livermorium
At astatine Mc moscovium
At astatine Md mendelevium
At astatine Mg magnesium
At astatine Mn manganese
At astatine Mo molybdenum
At astatine Mt meitnerium
At astatine N nitrogen
At astatine Na sodium
At astatine Nb niobium
At astatine Nd neodymium
At astatine Ne neon
At astatine Nh nihonium
At astatine Ni nickel
At astatine No nobelium
At astatine Np neptunium
At astatine O oxygen
At astatine Og oganesson
At astatine Os osmium
At astatine P phosphorus
At astatine Pa protactinium
At astatine Pb lead
At astatine Pd palladium
At astatine Pm promethium
At astatine Po polonium
At astatine Pr praseodymium
At astatine Pt platinum
At astatine Pu plutonium
At astatine Ra radium
At astatine Rb rubidium
At astatine Re rhenium
At astatine Rf rutherfordium
At astatine Rg roentgenium
At astatine Rh rhodium
At astatine Rn radon
At astatine Ru ruthenium
At astatine S sulfur
At astatine Sb antimony
At astatine Sc scandium
At astatine Se selenium
At astatine Sg seaborgium
At astatine Si silicon
At astatine Sm samarium
At astatine Sn tin
At astatine Sr strontium
At astatine Ta tantalum
At astatine Tb terbium
At astatine Tc technetium
At astatine Te tellurium
At astatine Th thorium
At astatine Ti titanium
At astatine Tl thallium
At astatine Tm thulium
At astatine Ts tennessine
At astatine U uranium
At astatine Uue ununennium
At astatine V vanadium
At astatine W tungsten
At astatine Xe xenon
At astatine Y yttrium
At astatine Yb ytterbium
At astatine Zn zinc
At astatine Zr zirconium
Au gold Ac actinium
Au gold Ag silver
Au gold Al aluminium
Au gold Am americium
Au gold Ar argon
Au gold As arsenic
Au gold At astatine
Au gold B boron
Au gold Ba barium
Au gold Be beryllium
Au gold Bh bohrium
Au gold Bi bismuth
Au gold Bk berkelium
Au gold Br bromine
Au gold C carbon
Au gold Ca calcium
Au gold Cd cadmium
Au gold Ce cerium
Au gold Cf californium
Au gold Cl chlorine
Au gold Cm curium
Au gold Cn copernicium
Au gold Co cobalt
Au gold Cr chromium
Au gold Cs cesium
Au gold Cu copper
Au gold Db dubnium
Au gold Ds darmstadtium
Au gold Dy dysprosium
Au gold Er erbium
Au gold Es einsteinium
Au gold Eu europium
Au gold F fluorine
Au gold Fe iron
Au gold Fl flerovium
Au gold Fm fermium
Au gold Fr francium
Au gold Ga gallium
Au gold Gd gadolinium
Au gold Ge germanium
Au gold H hydrogen
Au gold He helium
Au gold Hf hafnium
Au gold Hg mercury
Au gold Ho holmium
Au gold Hs hassium
Au gold I iodine
Au gold In indium
Au gold Ir iridium
Au gold K potassium
Au gold Kr krypton
Au gold La lanthanum
Au gold Li lithium
Au gold Lr lawrencium
Au gold Lu lutetium
Au gold Lv livermorium
Au gold Mc moscovium
Au gold Md mendelevium
Au gold Mg magnesium
Au gold Mn manganese
Au gold Mo molybdenum
Au gold Mt meitnerium
Au gold N nitrogen
Au gold Na sodium
Au gold Nb niobium
Au gold Nd neodymium
Au gold Ne neon
Au gold Nh nihonium
Au gold Ni nickel
Au gold No nobelium
Au gold Np neptunium
Au gold O oxygen
Au gold Og oganesson
Au gold Os osmium
Au gold P phosphorus
Au gold Pa protactinium
Au gold Pb lead
Au gold Pd palladium
Au gold Pm promethium
Au gold Po polonium
Au gold Pr praseodymium
Au gold Pt platinum
Au gold Pu plutonium
Au gold Ra radium
Au gold Rb rubidium
Au gold Re rhenium
Au gold Rf rutherfordium
Au gold Rg roentgenium
Au gold Rh rhodium
Au gold Rn radon
Au gold Ru ruthenium
Au gold S sulfur
Au gold Sb antimony
Au gold Sc scandium
Au gold Se selenium
Au gold Sg seaborgium
Au gold Si silicon
Au gold Sm samarium
Au gold Sn tin
Au gold Sr strontium
Au gold Ta tantalum
Au gold Tb terbium
Au gold Tc technetium
Au gold Te tellurium
Au gold Th thorium
Au gold Ti titanium
Au gold Tl thallium
Au gold Tm thulium
Au gold Ts tennessine
Au gold U uranium
Au gold Uue ununennium
Au gold V vanadium
Au gold W tungsten
Au gold Xe xenon
Au gold Y yttrium
Au gold Yb ytterbium
Au gold Zn zinc
Au gold Zr zirconium
B boron Ac actinium
B boron Ag silver
B boron Al aluminium
B boron Am americium
B boron Ar argon
B boron As arsenic
B boron At astatine
B boron Au gold
B boron Ba barium
B boron Be beryllium
B boron Bh bohrium
B boron Bi bismuth
B boron Bk berkelium
B boron Br bromine
B boron C carbon
B boron Ca calcium
B boron Cd cadmium
B boron Ce cerium
B boron Cf californium
B boron Cl chlorine
B boron Cm curium
B boron Cn copernicium
B boron Co cobalt
B boron Cr chromium
B boron Cs cesium
B boron Cu copper
B boron Db dubnium
B boron Ds darmstadtium
B boron Dy dysprosium
B boron Er erbium
B boron Es einsteinium
B boron Eu europium
B boron F fluorine
B boron Fe iron
B boron Fl flerovium
B boron Fm fermium
B boron Fr francium
B boron Ga gallium
B boron Gd gadolinium
B boron Ge germanium
B boron H hydrogen
B boron He helium
B boron Hf hafnium
B boron Hg mercury
B boron Ho holmium
B boron Hs hassium
B boron I iodine
B boron In indium
B boron Ir iridium
B boron K potassium
B boron Kr krypton
B boron La lanthanum
B boron Li lithium
B boron Lr lawrencium
B boron Lu lutetium
B boron Lv livermorium
B boron Mc moscovium
B boron Md mendelevium
B boron Mg magnesium
B boron Mn manganese
B boron Mo molybdenum
B boron Mt meitnerium
B boron N nitrogen
B boron Na sodium
B boron Nb niobium
B boron Nd neodymium
B boron Ne neon
B boron Nh nihonium
B boron Ni nickel
B boron No nobelium
B boron Np neptunium
B boron O oxygen
B boron Og oganesson
B boron Os osmium
B boron P phosphorus
B boron Pa protactinium
B boron Pb lead
B boron Pd palladium
B boron Pm promethium
B boron Po polonium
B boron Pr praseodymium
B boron Pt platinum
B boron Pu plutonium
B boron Ra radium
B boron Rb rubidium
B boron Re rhenium
B boron Rf rutherfordium
B boron Rg roentgenium
B boron Rh rhodium
B boron Rn radon
B boron Ru ruthenium
B boron S sulfur
B boron Sb antimony
B boron Sc scandium
B boron Se selenium
B boron Sg seaborgium
B boron Si silicon
B boron Sm samarium
B boron Sn tin
B boron Sr strontium
B boron Ta tantalum
B boron Tb terbium
B boron Tc technetium
B boron Te tellurium
B boron Th thorium
B boron Ti titanium
B boron Tl thallium
B boron Tm thulium
B boron Ts tennessine
B boron U uranium
B boron Uue ununennium
B boron V vanadium
B boron W tungsten
B boron Xe xenon
B boron Y yttrium
B boron Yb ytterbium
B boron Zn zinc
B boron Zr zirconium
Ba barium Ac actinium
Ba barium Ag silver
Ba barium Al aluminium
Ba barium Am americium
Ba barium Ar argon
Ba barium As arsenic
Ba barium At astatine
Ba barium Au gold
Ba barium B boron
Ba barium Be beryllium
Ba barium Bh bohrium
Ba barium Bi bismuth
Ba barium Bk berkelium
Ba barium Br bromine
Ba barium C carbon
Ba barium Ca calcium
Ba barium Cd cadmium
Ba barium Ce cerium
Ba barium Cf californium
Ba barium Cl chlorine
Ba barium Cm curium
Ba barium Cn copernicium
Ba barium Co cobalt
Ba barium Cr chromium
Ba barium Cs cesium
Ba barium Cu copper
Ba barium Db dubnium
Ba barium Ds darmstadtium
Ba barium Dy dysprosium
Ba barium Er erbium
Ba barium Es einsteinium
Ba barium Eu europium
Ba barium F fluorine
Ba barium Fe iron
Ba barium Fl flerovium
Ba barium Fm fermium
Ba barium Fr francium
Ba barium Ga gallium
Ba barium Gd gadolinium
Ba barium Ge germanium
Ba barium H hydrogen
Ba barium He helium
Ba barium Hf hafnium
Ba barium Hg mercury
Ba barium Ho holmium
Ba barium Hs hassium
Ba barium I iodine
Ba barium In indium
Ba barium Ir iridium
Ba barium K potassium
Ba barium Kr krypton
Ba barium La lanthanum
Ba barium Li lithium
Ba barium Lr lawrencium
Ba barium Lu lutetium
Ba barium Lv livermorium
Ba barium Mc moscovium
Ba barium Md mendelevium
Ba barium Mg magnesium
Ba barium Mn manganese
Ba barium Mo molybdenum
Ba barium Mt meitnerium
Ba barium N nitrogen
Ba barium Na sodium
Ba barium Nb niobium
Ba barium Nd neodymium
Ba barium Ne neon
Ba barium Nh nihonium
Ba barium Ni nickel
Ba barium No nobelium
Ba barium Np neptunium
Ba barium O oxygen
Ba barium Og oganesson
Ba barium Os osmium
Ba barium P phosphorus
Ba barium Pa protactinium
Ba barium Pb lead
Ba barium Pd palladium
Ba barium Pm promethium
Ba barium Po polonium
Ba barium Pr praseodymium
Ba barium Pt platinum
Ba barium Pu plutonium
Ba barium Ra radium
Ba barium Rb rubidium
Ba barium Re rhenium
Ba barium Rf rutherfordium
Ba barium Rg roentgenium
Ba barium Rh rhodium
Ba barium Rn radon
Ba barium Ru ruthenium
Ba barium S sulfur
Ba barium Sb antimony
Ba barium Sc scandium
Ba barium Se selenium
Ba barium Sg seaborgium
Ba barium Si silicon
Ba barium Sm samarium
Ba barium Sn tin
Ba barium Sr strontium
Ba barium Ta tantalum
Ba barium Tb terbium
Ba barium Tc technetium
Ba barium Te tellurium
Ba barium Th thorium
Ba barium Ti titanium
Ba barium Tl thallium
Ba barium Tm thulium
Ba barium Ts tennessine
Ba barium U uranium
Ba barium Uue ununennium
Ba barium V vanadium
Ba barium W tungsten
Ba barium Xe xenon
Ba barium Y yttrium
Ba barium Yb ytterbium
Ba barium Zn zinc
Ba barium Zr zirconium
Be beryllium Ac actinium
Be beryllium Ag silver
Be beryllium Al aluminium
Be beryllium Am americium
Be beryllium Ar argon
Be beryllium As arsenic
Be beryllium At astatine
Be beryllium Au gold
Be beryllium B boron
Be beryllium Ba barium
Be beryllium Bh bohrium
Be beryllium Bi bismuth
Be beryllium Bk berkelium
Be beryllium Br bromine
Be beryllium C carbon
Be beryllium Ca calcium
